song,date,venue,duration_minutes,era,style_tags
Reba,1995-12-31,Madison Square Garden,15,Mid 90s,"tension build; machine-gun trey; composed peak; major resolution"
David Bowie,1994-12-29,Providence Civic Center,30,Mid 90s,"dark; dissonant; tension; long-form; ambient space"
Tweezer,1995-12-30,Madison Square Garden,26,Mid 90s,"exploratory; tension; rhythmic shifts; peak-driven"
Stash,1994-11-14,Macomb Community College,14,Mid 90s,"tension; minor key; rhythmic complexity"
Run Like an Antelope,1995-10-31,Rosemont Horizon,20,Mid 90s,"high energy; tension; peak; dissonant"
Ghost,1997-11-17,McNichols Arena,17,Fall 1997,"cow funk; groove-based; minor tonal shift; ambient outro"
Tube,1997-12-29,Madison Square Garden,15,Fall 1997,"cow funk; tight groove; rhythmic layering"
Tweezer,1997-12-06,Auburn Hills,38,Fall 1997,"deep funk; ambient; long-form; spacey textures"
Bathtub Gin,1997-08-17,Limestone,24,Summer 1997,"groove; melodic peak; uplifting; rhythmic build"
Simple,1997-08-16,Limestone,27,Summer 1997,"ambient; patient; space; rhythmic dissolve"
Wolfman's Brother,1998-07-02,Antioch,23,Summer 1998,"funk; groove; layered textures; dynamic build"
Halley's Comet,1998-11-07,Worcester Centrum,24,Fall 1998,"spacey; ambient; rhythmic shift; exploratory"
2001,1997-09-29,Las Vegas,12,Fall 1997,"funk; groove; danceable; minimal peak"
Sand,1999-09-14,Boise State University,18,1999,"groove; ambient; layered; patient build"
Chalk Dust Torture,1999-07-10,Deer Creek,27,Summer 1999,"long-form; bliss; patient build; major resolution"
Tweezer,1999-12-31,Big Cypress,36,1999,"ambient; space; patient; atmospheric"
Rock and Roll,2000-06-14,Fukuoka,27,2000,"ambient; spacey; subtle build; exploratory"
Twist,2000-06-14,Fukuoka,20,2000,"groove; ambient; patient; dissolving structure"
Piper,2000-07-06,Hartford,19,2000,"build; high energy; major peak; sustained tension"
Down with Disease,1999-09-12,Portland Meadows,20,1999,"groove; rhythmic shift; exploratory"
Scents and Subtle Sounds,2003-02-28,Nassau Coliseum,23,2.0,"dark; layered; minor key; tension"
Crosseyed and Painless,2004-06-19,Saratoga Springs,25,2.0,"groove; dissonant; long-form; rhythmic intensity"
Piper,2003-07-15,Utica,21,2.0,"dark; tension; heavy groove; chaotic"
Seven Below,2003-02-28,Nassau Coliseum,28,2.0,"ambient; swirling; layered; spacey"
Ghost,2004-08-10,Camden,22,2.0,"dark groove; tension; extended jam"
Tweezer,2015-08-22,Magnaball,46,3.0,"long-form; bliss; major peak; celebratory"
Simple,2022-04-21,New York,30,4.0,"modern; synth textures; patient; exploratory"
Ruby Waves,2019-07-14,Alpine Valley,38,3.0,"bliss; long peak; major key; uplifting"
No Men In No Man's Land,2017-07-21,Madison Square Garden,20,3.0,"groove; modern funk; layered build"
Everything's Right,2018-08-31,Dicks,21,3.0,"bliss; major resolution; rhythmic drive"
Carini,2017-08-06,Bakers Dozen,20,3.0,"dark; tension; heavy groove; minor key"
Light,2012-08-31,Dicks,22,3.0,"uplifting; melodic peak; sustained build"
Fuego,2014-07-04,Saratoga Springs,23,3.0,"groove; rhythmic shift; dynamic build"
Bathtub Gin,2015-07-26,Merriweather,24,3.0,"bliss; melodic; uplifting; sustained peak"
Prince Caspian,1998-08-17,Limestone,12,Summer 1998,"melodic; major peak; uplifting"
Cities,1997-08-10,Deer Creek,18,Summer 1997,"groove; rhythmic shift; layered"
Disease,1997-12-07,Auburn Hills,18,Fall 1997,"funk; dynamic; rhythmic interplay"
Sneakin Sally,1997-08-02,Deer Creek,19,Summer 1997,"groove; danceable; layered build"
Maze,1995-06-22,Waterloo Village,12,Mid 90s,"tension; dissonant; high energy"
Harry Hood,1998-11-13,Las Vegas,16,Fall 1998,"uplifting; melodic peak; major resolution"
Runaway Jim,1997-11-29,Worcester,24,Fall 1997,"exploratory; rhythmic build; dynamic"
Golden Age,2016-10-30,Las Vegas,26,3.0,"groove; exploratory; layered textures"
Tweezer,2013-12-30,Madison Square Garden,25,3.0,"dynamic; peak-driven; modern exploratory"
Mercury,2021-08-31,Shoreline,23,4.0,"modern; synth; atmospheric; patient build"
A Song I Heard The Ocean Sing,2017-07-23,Madison Square Garden,18,3.0,"ambient; space; layered"
Wave of Hope,2022-08-05,Atlantic City,20,4.0,"modern; bliss; rhythmic build"
The Wedge,1993-08-02,Waterloo Village,10,Early 90s,"melodic; energetic; composed peak"
Split Open and Melt,1994-06-11,Red Rocks,20,Mid 90s,"dissonant; dark; tension; chaotic"
You Enjoy Myself,1995-12-09,Knoxville,20,Mid 90s,"composed; exploratory; peak; vocal jam"
Fluffhead,1994-04-16,Beacon Theatre,15,Mid 90s,"composed; energetic; melodic peak"